Dependents,tenure,MultipleLines,OnlineSecurity,TechSupport,StreamingTV,PaperlessBilling,MonthlyCharges,Churn,ChargesPerTenure,TenureGroup,NumAddons,HasStreaming,IsLongTermContract,IsAutoPayment,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,Segment,Segment_Label,Churn_Probability,Churn_Predicted,Risk_Tier,Priority,Rec_Count,Recommendations
1,13,0,1,0,0,1,49.95,0,-0.2506208284025995,1,1,0,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk,0.34876861178703766,0,Medium,High,4,Mid-cycle check-in: proactive satisfaction survey + offer | Promote annual contract: highlight savings vs month-to-month | Recommend OnlineSecurity or TechSupport — show value demo | Upsell opportunity: offer enhanced plan with streaming bundle
0,16,0,0,0,0,0,18.95,0,-0.53697556471812,1,0,0,1,1,0,0,1,0,0,1,1,0,3,Loyal Low-Risk,0.08467507072957424,0,Low,Low,3,Send annual loyalty thank-you reward: gift card or free month | Introduce premium bundle: StreamingTV + Movies at 30% off | Invite to referral program: reward for bringing new customers
0,58,1,0,0,1,0,100.35,0,-0.4685556433975311,3,3,1,1,1,0,1,0,0,1,0,1,0,1,Stable Mid-Risk,0.4012977067776851,0,Medium,Medium,2,Send quarterly loyalty reward: bonus data or service credit | Proactive fiber quality check — prevent dissatisfaction
0,49,1,0,0,1,1,103.7,1,-0.4249977920750283,3,4,1,0,1,0,1,0,1,0,0,0,0,0,Critical Churn-Risk,0.6820319647562397,1,High,Critical,5,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months
0,25,0,1,1,1,1,105.5,0,-0.1934426911540983,2,5,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.5167610086620439,1,High,Critical,5,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Enroll in auto-pay for $5/month discount
1,69,1,1,1,1,0,113.25,0,-0.4782430483632625,3,6,1,1,1,0,1,0,0,0,1,1,0,1,Stable Mid-Risk,0.05740007387081984,0,Low,Medium,2,Send quarterly loyalty reward: bonus data or service credit | Proactive fiber quality check — prevent dissatisfaction
0,52,0,0,0,0,0,20.65,0,-0.6216140554550796,3,0,0,1,0,0,0,1,0,1,0,0,0,3,Loyal Low-Risk,0.15724992335702245,0,Low,Low,3,Send annual loyalty thank-you reward: gift card or free month | Introduce premium bundle: StreamingTV + Movies at 30% off | Invite to referral program: reward for bringing new customers
1,71,1,1,0,1,0,106.7,0,-0.4941080484317458,3,4,1,1,1,0,1,0,0,0,1,0,0,1,Stable Mid-Risk,0.10644563631387893,0,Low,Medium,2,Send quarterly loyalty reward: bonus data or service credit | Proactive fiber quality check — prevent dissatisfaction
1,10,0,0,1,0,0,55.2,1,-0.0813253810891993,0,2,0,0,1,1,0,0,1,0,0,1,0,2,Vulnerable High-Risk,0.36993358791331893,0,Medium,High,3,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month
0,21,0,0,0,0,1,90.05,0,-0.1893000238910523,1,3,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.7011928793077643,1,High,Critical,6,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
0,1,0,0,0,0,1,39.65,1,1.647064785628422,0,2,1,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk,0.6512824112023163,1,High,High,4,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month | Upsell opportunity: offer enhanced plan with streaming bundle
0,12,0,0,0,0,0,19.8,0,-0.4893066812015872,0,0,0,1,1,0,0,1,0,1,0,0,0,3,Loyal Low-Risk,0.1948343589811983,0,Low,Low,3,Send annual loyalty thank-you reward: gift card or free month | Introduce premium bundle: StreamingTV + Movies at 30% off | Invite to referral program: reward for bringing new customers
0,1,0,0,0,0,0,20.15,1,0.5089536858251071,0,0,0,0,0,0,0,1,1,0,0,0,0,2,Vulnerable High-Risk,0.5227402963906834,1,High,High,5,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month | Recommend OnlineSecurity or TechSupport — show value demo | Upsell opportunity: offer enhanced plan with streaming bundle
0,58,1,0,1,0,1,59.9,0,-0.5485844899634488,3,2,0,1,1,1,0,0,0,0,1,1,0,1,Stable Mid-Risk,0.06994397927255833,0,Low,Medium,2,Send quarterly loyalty reward: bonus data or service credit | Cross-sell DeviceProtection or StreamingTV at discounted rate
1,49,0,1,1,0,0,59.6,0,-0.5279530731033897,3,3,0,0,1,1,0,0,1,0,0,1,0,1,Stable Mid-Risk,0.2342252729118808,0,Low,Medium,1,Send quarterly loyalty reward: bonus data or service credit
0,30,0,1,0,0,1,55.3,0,-0.458864363560987,2,2,0,0,1,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk,0.33691599563099256,0,Medium,High,2,Mid-cycle check-in: proactive satisfaction survey + offer | Promote annual contract: highlight savings vs month-to-month
1,47,1,0,0,1,1,99.35,1,-0.4254890280625502,2,3,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.6069450510518888,1,High,Critical,6,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
1,1,0,0,0,0,0,30.2,1,1.0955186372622,0,1,0,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk,0.5966326653037941,1,High,High,5,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month | Recommend OnlineSecurity or TechSupport — show value demo | Upsell opportunity: offer enhanced plan with streaming bundle
0,72,1,1,1,1,1,90.25,0,-0.5227818032800473,3,6,1,1,1,1,0,0,0,0,1,1,0,1,Stable Mid-Risk,0.03772732162560837,0,Low,Medium,1,Send quarterly loyalty reward: bonus data or service credit
1,17,0,0,0,1,1,64.7,1,-0.2475173101410276,1,2,1,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk,0.4131937348576752,0,Medium,High,2,Mid-cycle check-in: proactive satisfaction survey + offer | Promote annual contract: highlight savings vs month-to-month
0,71,1,1,1,0,1,96.35,0,-0.5108878915698716,3,4,0,1,1,0,1,0,0,0,1,1,0,1,Stable Mid-Risk,0.06371585195673109,0,Low,Medium,2,Send quarterly loyalty reward: bonus data or service credit | Proactive fiber quality check — prevent dissatisfaction
0,2,0,0,0,1,1,95.5,0,3.048789652993017,0,3,1,0,1,0,1,0,1,0,0,1,0,0,Critical Churn-Risk,0.7835922267282784,1,Very High,Critical,5,Immediate onboarding call — assign dedicated support agent | Offer 20% discount for first 3 months to reduce early churn | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months
1,27,0,1,1,0,0,66.15,0,-0.3913213764552071,2,4,0,1,0,1,0,0,0,1,0,0,0,1,Stable Mid-Risk,0.21303780559251934,0,Low,Medium,2,Send quarterly loyalty reward: bonus data or service credit | Promote auto-pay enrollment for convenience discount
0,1,0,0,0,0,0,20.2,0,0.5118719194143465,0,0,0,0,1,0,0,1,1,0,0,0,0,2,Vulnerable High-Risk,0.5030649306783535,0,Medium,High,5,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month | Recommend OnlineSecurity or TechSupport — show value demo | Upsell opportunity: offer enhanced plan with streaming bundle
0,1,0,0,0,0,0,45.25,0,1.9739069476232205,0,0,0,0,1,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk,0.5843870824610456,1,High,High,5,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month | Recommend OnlineSecurity or TechSupport — show value demo | Upsell opportunity: offer enhanced plan with streaming bundle
1,72,1,1,1,1,0,99.9,0,-0.5073511434794122,3,4,1,1,1,0,1,0,0,0,1,0,0,1,Stable Mid-Risk,0.08158511513160302,0,Low,Medium,2,Send quarterly loyalty reward: bonus data or service credit | Proactive fiber quality check — prevent dissatisfaction
0,5,0,0,0,0,1,69.7,1,0.6889114238281955,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.7831123829913003,1,Very High,Critical,5,Immediate onboarding call — assign dedicated support agent | Offer 20% discount for first 3 months to reduce early churn | Offer contract upgrade incentive: 2 free months on annual plan | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
0,46,0,0,0,0,1,74.8,0,-0.4813209421488736,2,1,0,0,1,0,1,0,1,0,0,1,0,0,Critical Churn-Risk,0.5800143195855474,1,High,Critical,4,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Offer contract upgrade incentive: 2 free months on annual plan | Bundle OnlineSecurity + TechSupport at 50% off for 3 months
0,34,1,0,0,1,1,106.35,1,-0.3124040023919224,2,4,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.7411028442986163,1,High,Critical,6,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
0,11,1,0,0,1,1,97.85,1,0.2847360717185568,0,3,1,0,1,0,1,0,1,0,0,0,0,0,Critical Churn-Risk,0.8254687116859937,1,Very High,Critical,5,Immediate onboarding call — assign dedicated support agent | Offer 20% discount for first 3 months to reduce early churn | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months
1,10,0,0,0,0,0,49.55,0,-0.1412818166499335,0,1,0,1,0,1,0,0,0,1,0,0,0,2,Vulnerable High-Risk,0.27252695793646725,0,Low,High,4,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Recommend OnlineSecurity or TechSupport — show value demo | Upsell opportunity: offer enhanced plan with streaming bundle
1,70,1,1,0,1,1,69.2,0,-0.5533244425395252,3,3,1,1,1,1,0,0,0,0,1,1,0,1,Stable Mid-Risk,0.05289622517560654,0,Low,Medium,1,Send quarterly loyalty reward: bonus data or service credit
1,17,0,0,0,0,0,20.75,0,-0.5325314573567296,1,0,0,1,0,0,0,1,0,1,0,0,0,3,Loyal Low-Risk,0.14660969441835542,0,Low,Low,3,Send annual loyalty thank-you reward: gift card or free month | Introduce premium bundle: StreamingTV + Movies at 30% off | Invite to referral program: reward for bringing new customers
0,63,1,1,1,1,1,79.85,0,-0.5214563555753458,3,5,1,1,1,1,0,0,0,0,1,1,0,1,Stable Mid-Risk,0.037727452887865415,0,Low,Medium,1,Send quarterly loyalty reward: bonus data or service credit
0,13,1,1,1,1,1,76.2,0,-0.0317533092096543,1,4,1,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk,0.427712661737908,0,Medium,High,2,Mid-cycle check-in: proactive satisfaction survey + offer | Promote annual contract: highlight savings vs month-to-month
0,49,1,0,0,0,1,84.5,0,-0.4698218600057435,3,1,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.6491172405831984,1,High,Critical,6,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
0,2,0,0,0,0,0,49.25,0,1.249212272962135,0,1,0,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk,0.607577088795508,1,High,High,5,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month | Recommend OnlineSecurity or TechSupport — show value demo | Upsell opportunity: offer enhanced plan with streaming bundle
0,2,0,0,0,1,1,80.65,1,2.470979402323642,0,1,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.8175275625902718,1,Very High,Critical,6,Immediate onboarding call — assign dedicated support agent | Offer 20% discount for first 3 months to reduce early churn | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
0,52,1,1,1,1,1,79.75,0,-0.4914498251727847,3,4,1,1,1,1,0,0,0,0,1,1,0,1,Stable Mid-Risk,0.06532406366444701,0,Low,Medium,1,Send quarterly loyalty reward: bonus data or service credit
1,69,1,1,1,0,1,64.15,0,-0.5601203450670613,3,3,0,1,1,1,0,0,0,0,1,1,0,1,Stable Mid-Risk,0.047082101035922544,0,Low,Medium,1,Send quarterly loyalty reward: bonus data or service credit
0,43,1,0,0,1,1,90.25,0,-0.4276666493393689,2,2,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.7034821150916276,1,High,Critical,6,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
0,15,0,1,0,1,1,99.1,1,0.0558979210957107,1,4,1,0,1,0,1,0,1,0,0,1,0,0,Critical Churn-Risk,0.6277261899228739,1,High,Critical,5,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months
0,25,1,1,1,1,1,69.5,0,-0.3550679360965809,2,3,1,0,1,1,0,0,1,0,0,1,0,1,Stable Mid-Risk,0.2954822436427204,0,Low,Medium,1,Send quarterly loyalty reward: bonus data or service credit
0,8,1,0,0,0,1,80.65,1,0.3789301670156688,0,1,0,0,1,0,1,0,1,0,0,1,0,0,Critical Churn-Risk,0.7735951269619467,1,Very High,Critical,5,Immediate onboarding call — assign dedicated support agent | Offer 20% discount for first 3 months to reduce early churn | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months
1,60,0,1,1,0,1,74.85,0,-0.5238618052910661,3,5,1,1,1,1,0,0,0,1,0,1,0,1,Stable Mid-Risk,0.14200530395776914,0,Low,Medium,1,Send quarterly loyalty reward: bonus data or service credit
0,18,1,0,0,1,1,95.45,1,-0.0806830904427639,1,2,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.7745105393547822,1,Very High,Critical,6,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
1,63,1,1,0,1,1,99.65,0,-0.4853432149085098,3,3,1,1,1,0,1,0,0,1,0,1,0,1,Stable Mid-Risk,0.18727827223240953,0,Low,Medium,2,Send quarterly loyalty reward: bonus data or service credit | Proactive fiber quality check — prevent dissatisfaction
1,66,1,0,1,1,1,108.45,0,-0.4781497146663785,3,5,1,1,0,0,1,0,0,1,0,0,1,1,Stable Mid-Risk,0.27960131361975143,0,Low,Medium,3,Send quarterly loyalty reward: bonus data or service credit | Proactive fiber quality check — prevent dissatisfaction | Promote auto-pay enrollment for convenience discount
1,34,1,0,0,0,0,24.95,0,-0.583883104293724,2,0,0,1,1,0,0,1,0,0,1,1,0,3,Loyal Low-Risk,0.061892972257194596,0,Low,Low,3,Send annual loyalty thank-you reward: gift card or free month | Introduce premium bundle: StreamingTV + Movies at 30% off | Invite to referral program: reward for bringing new customers
0,72,1,0,1,1,1,107.5,0,-0.4951984994913474,3,4,1,1,1,0,1,0,0,0,1,1,0,1,Stable Mid-Risk,0.13058613875029884,0,Low,Medium,2,Send quarterly loyalty reward: bonus data or service credit | Proactive fiber quality check — prevent dissatisfaction
0,47,1,0,0,1,1,100.5,0,-0.4226923875395292,2,3,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.6922666871765516,1,High,Critical,6,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
0,60,1,0,0,1,1,89.9,0,-0.4950621885579178,3,2,1,0,1,0,1,0,1,0,0,0,0,0,Critical Churn-Risk,0.5827054525412363,1,High,Critical,5,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months
0,72,0,1,0,0,0,42.1,0,-0.5997751990728533,3,3,0,1,1,1,0,0,0,0,1,0,0,1,Stable Mid-Risk,0.07334360937824964,0,Low,Medium,1,Send quarterly loyalty reward: bonus data or service credit
1,18,0,0,1,0,1,54.4,0,-0.3328799090496523,1,2,0,1,1,1,0,0,0,1,0,1,0,1,Stable Mid-Risk,0.22475862897434554,0,Low,Medium,2,Send quarterly loyalty reward: bonus data or service credit | Cross-sell DeviceProtection or StreamingTV at discounted rate
0,9,1,0,0,1,0,94.4,1,0.4348305526584299,0,2,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.816380675778071,1,Very High,Critical,6,Immediate onboarding call — assign dedicated support agent | Offer 20% discount for first 3 months to reduce early churn | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
0,3,0,0,1,1,1,75.3,0,1.5303354420588513,0,4,1,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk,0.5697207321275876,1,High,High,3,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month
0,47,1,0,0,0,1,78.9,0,-0.4752205921458361,2,1,0,1,0,0,1,0,0,1,0,0,1,0,Critical Churn-Risk,0.3443678894705835,0,Medium,Critical,4,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
0,31,0,0,1,1,0,79.2,0,-0.3781893253036304,2,5,1,1,0,1,0,0,0,0,1,0,0,1,Stable Mid-Risk,0.1778698720597144,0,Low,Medium,2,Send quarterly loyalty reward: bonus data or service credit | Promote auto-pay enrollment for convenience discount
1,50,0,0,0,0,0,20.15,0,-0.6209749158750464,3,0,0,1,1,0,0,1,0,0,1,0,0,3,Loyal Low-Risk,0.062314028860661314,0,Low,Low,3,Send annual loyalty thank-you reward: gift card or free month | Introduce premium bundle: StreamingTV + Movies at 30% off | Invite to referral program: reward for bringing new customers
0,10,0,1,0,0,1,79.85,0,0.1802544660917023,0,2,0,0,0,0,1,0,1,0,0,0,0,0,Critical Churn-Risk,0.645348324077187,1,High,Critical,5,Immediate onboarding call — assign dedicated support agent | Offer 20% discount for first 3 months to reduce early churn | Offer contract upgrade incentive: 2 free months on annual plan | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
0,1,0,0,1,0,0,49.05,0,2.1956927004054045,0,1,0,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk,0.5471356596220245,1,High,High,5,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month | Recommend OnlineSecurity or TechSupport — show value demo | Upsell opportunity: offer enhanced plan with streaming bundle
1,52,0,0,0,0,1,20.4,0,-0.6221646655662568,3,0,0,1,0,0,0,1,0,1,0,0,1,3,Loyal Low-Risk,0.13732804178690708,0,Low,Low,3,Send annual loyalty thank-you reward: gift card or free month | Introduce premium bundle: StreamingTV + Movies at 30% off | Invite to referral program: reward for bringing new customers
1,64,1,1,1,1,1,111.6,0,-0.4666791469096397,3,5,1,1,1,0,1,0,0,0,1,0,0,1,Stable Mid-Risk,0.11675633275711811,0,Low,Medium,2,Send quarterly loyalty reward: bonus data or service credit | Proactive fiber quality check — prevent dissatisfaction
1,62,1,0,0,0,1,24.25,0,-0.6221629175976499,3,0,0,1,1,0,0,1,0,0,1,0,0,3,Loyal Low-Risk,0.05710927248316846,0,Low,Low,3,Send annual loyalty thank-you reward: gift card or free month | Introduce premium bundle: StreamingTV + Movies at 30% off | Invite to referral program: reward for bringing new customers
1,3,0,1,1,0,1,64.5,0,1.2151662144210102,0,3,1,0,1,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk,0.4363690020298361,0,Medium,High,3,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month
0,56,1,1,0,1,0,110.5,0,-0.4408033547709923,3,5,1,1,0,0,1,0,0,1,0,0,1,1,Stable Mid-Risk,0.36636928832159066,0,Medium,Medium,3,Send quarterly loyalty reward: bonus data or service credit | Proactive fiber quality check — prevent dissatisfaction | Promote auto-pay enrollment for convenience discount
0,46,0,0,0,0,0,55.65,0,-0.5288819406458369,2,1,1,1,1,1,0,0,0,1,0,1,0,3,Loyal Low-Risk,0.22494707560490407,0,Low,Low,2,Send annual loyalty thank-you reward: gift card or free month | Invite to referral program: reward for bringing new customers
1,8,0,1,0,0,0,54.65,0,0.041712063370242,0,2,0,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk,0.40174034708397655,0,Medium,High,3,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month
0,30,0,1,0,1,1,74.75,0,-0.3856261141278208,2,4,1,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk,0.4154983146441884,0,Medium,High,2,Mid-cycle check-in: proactive satisfaction survey + offer | Promote annual contract: highlight savings vs month-to-month
1,45,1,0,0,0,1,25.9,0,-0.6013707550197989,2,0,0,1,1,0,0,1,0,1,0,1,0,3,Loyal Low-Risk,0.10153751816121384,0,Low,Low,3,Send annual loyalty thank-you reward: gift card or free month | Introduce premium bundle: StreamingTV + Movies at 30% off | Invite to referral program: reward for bringing new customers
1,1,0,0,0,1,1,79.35,1,3.964142255484401,0,1,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.7698653725150438,1,Very High,Critical,5,Immediate onboarding call — assign dedicated support agent | Offer 20% discount for first 3 months to reduce early churn | Offer contract upgrade incentive: 2 free months on annual plan | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
1,11,0,1,0,1,0,50.55,0,-0.1753720908515013,0,3,1,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk,0.4145737932903214,0,Medium,High,3,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month
